Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM),Type,Fusion Strategy
$L_1$,$HDBSCAN$,0.01,0.544,0.215,0.327,0.413,0.27,0.354,0.048,0.164,0.162,0.166,421,0.157,0.491,Non-dominated FMap,-
$L_1$,$HDBSCAN$,0.005,0.52,0.254,0.33,0.346,0.315,0.342,0.056,0.169,0.142,0.208,445,0.142,0.499,Non-dominated FMap,-
$L_2$,$KMeans$,0.01,0.558,0.207,0.322,0.416,0.263,0.369,0.042,0.162,0.161,0.163,426,0.163,0.484,Non-dominated FMap,-
$Cosine$,$KMeans$,0.05,0.596,0.156,0.262,0.553,0.171,0.387,0.047,0.138,0.215,0.101,323,0.153,0.4,Non-dominated FMap,-
$Cosine$,$KMeans$,0.01,0.558,0.207,0.322,0.415,0.263,0.368,0.042,0.163,0.162,0.164,425,0.163,0.485,Non-dominated FMap,-
$Cosine$,$One$,0.05,0.633,0.155,0.251,0.567,0.161,0.407,0.019,0.116,0.203,0.082,374,0.167,0.367,Non-dominated FMap,-
$Cosine$,$One$,0.01,0.601,0.201,0.304,0.431,0.235,0.384,0.036,0.149,0.165,0.137,510,0.17,0.45299999999999996,Non-dominated FMap,-
$Cosine$,$One$,0.005,0.587,0.202,0.307,0.359,0.269,0.382,0.037,0.154,0.143,0.167,580,0.159,0.46099999999999997,Non-dominated FMap,-
$L_2$,$KMeans^{10}$,0.01,0.504,0.217,0.336,0.402,0.288,0.333,0.043,0.171,0.156,0.189,346,0.157,0.507,Non-dominated FMap,-
$L_2$,$HDBSCAN$,0.01,0.546,0.215,0.327,0.411,0.272,0.354,0.044,0.164,0.161,0.166,418,0.163,0.491,Non-dominated FMap,-
$L_2$,$HDBSCAN$,0.005,0.53,0.253,0.328,0.344,0.314,0.343,0.054,0.166,0.139,0.204,451,0.147,0.494,Non-dominated FMap,-
$Cosine$,$KMeans^{10}$,0.01,0.505,0.217,0.336,0.402,0.288,0.333,0.043,0.171,0.156,0.189,345,0.156,0.507,Non-dominated FMap,-
$Cosine$,$HDBSCAN$,0.005,0.529,0.253,0.328,0.343,0.314,0.344,0.054,0.164,0.138,0.203,452,0.148,0.492,Non-dominated FMap,-
$L_2$,$One$,0.05,0.633,0.155,0.251,0.567,0.161,0.407,0.019,0.116,0.203,0.082,374,0.167,0.367,Non-dominated FMap,-
$L_2$,$One$,0.01,0.601,0.201,0.304,0.431,0.235,0.384,0.036,0.149,0.165,0.137,510,0.17,0.45299999999999996,Non-dominated FMap,-
$L_2$,$One$,0.005,0.587,0.202,0.307,0.359,0.269,0.382,0.037,0.154,0.143,0.167,580,0.159,0.46099999999999997,Non-dominated FMap,-
